Country / territory of asylum/residence,Origin,Value
Afghanistan,Afghanistan,758625
Afghanistan,India,19
Afghanistan,Iraq,2
Afghanistan,Tajikistan,1
Afghanistan,Turkey,6
Angola,Angola,257508
Angola,Burundi,2
Angola,Burundi,6
Angola,Central African Rep.,2
Angola,Cameroon,1
Angola,Dem. Rep. of the Congo,595
Angola,Dem. Rep. of the Congo,11821
Angola,Dem. Rep. of the Congo,544
Angola,Congo,235
Angola,Congo,40
Angola,Comoros,3
Angola,Algeria,1
Angola,Guinea,2
Angola,Guinea-Bissau,3
Angola,Iraq,1
Angola,Liberia,1
Angola,Liberia,6
Angola,Mauritania,2
Angola,Mauritania,1
Angola,Rwanda,5
Angola,Rwanda,165
Angola,Sudan,3
Angola,Sierra Leone,21
Angola,Sierra Leone,9
Angola,Somalia,3
Angola,Chad,9
Angola,Chad,22
Angola,United Rep. of Tanzania,3
Angola,Uganda,1
Angola,Zambia,1
Angola,Zambia,7
Albania,Iraq,9
Albania,Peru,1
Albania,Sudan,2
Albania,Serbia and Kosovo (S/RES/1244 (1999)),4
Albania,Serbia and Kosovo (S/RES/1244 (1999)),507
Albania,Serbia and Kosovo (S/RES/1244 (1999)),146
Albania,Turkey,5
United Arab Emirates,Afghanistan,12
United Arab Emirates,Afghanistan,6
United Arab Emirates,Bosnia and Herzegovina,2
United Arab Emirates,Eritrea,6
United Arab Emirates,Ethiopia,1
United Arab Emirates,India,5
United Arab Emirates,Iran (Islamic Rep. of),8
United Arab Emirates,Iran (Islamic Rep. of),5
United Arab Emirates,Iraq,58
United Arab Emirates,Iraq,25
United Arab Emirates,Jordan,6
United Arab Emirates,Libya,9
United Arab Emirates,Libya,6
United Arab Emirates,Pakistan,1
United Arab Emirates,Palestinian,33
United Arab Emirates,Palestinian,29
United Arab Emirates,Qatar,16
United Arab Emirates,Sudan,30
United Arab Emirates,Sudan,8
United Arab Emirates,Somalia,80
United Arab Emirates,Somalia,321
United Arab Emirates,Syrian Arab Rep.,49
United Arab Emirates,Syrian Arab Rep.,43
United Arab Emirates,Uganda,1
United Arab Emirates,Uganda,90
United Arab Emirates,Stateless,1
United Arab Emirates,Stateless,21
United Arab Emirates,Yemen,23
United Arab Emirates,Yemen,2
Argentina,Afghanistan,1
Argentina,Angola,3
Argentina,Angola,11
Argentina,Albania,11
Argentina,Albania,17
Argentina,Armenia,139
Argentina,Armenia,15
Argentina,Azerbaijan,2
Argentina,Benin,6
Argentina,Bangladesh,15
Argentina,Bangladesh,6
Argentina,Bulgaria,5
Argentina,Bulgaria,1
Argentina,Bosnia and Herzegovina,8
Argentina,Bolivia (Plurinational State of),2
Argentina,Chile,5
Argentina,Chile,10
Argentina,Cote d'Ivoire,2
Argentina,Dem. Rep. of the Congo,8
Argentina,Dem. Rep. of the Congo,7
Argentina,Congo,10
Argentina,Colombia,31
Argentina,Colombia,19
Argentina,Cuba,97
Argentina,Cuba,169
Argentina,Dominican Rep.,7
Argentina,Algeria,11
Argentina,Algeria,48
Argentina,Ecuador,3
Argentina,Estonia,4
Argentina,Ethiopia,1
Argentina,Georgia,3
Argentina,Georgia,1
Argentina,Ghana,6
Argentina,Ghana,2
Argentina,Guinea,5
Argentina,Guinea,4
Argentina,Haiti,15
Argentina,Haiti,6
Argentina,Haiti,1
Argentina,Hungary,1
Argentina,India,18
Argentina,India,13
Argentina,Iran (Islamic Rep. of),7
Argentina,Iran (Islamic Rep. of),27
Argentina,Iraq,5
Argentina,Iraq,13
Argentina,Kazakhstan,1
Argentina,Kazakhstan,81
Argentina,Kyrgyzstan,3
Argentina,Lao People's Dem. Rep.,1321
Argentina,Lebanon,3
Argentina,Liberia,20
Argentina,Liberia,49
Argentina,Sri Lanka,33
Argentina,Lithuania,2
Argentina,Latvia,2
Argentina,Morocco,1
Argentina,Mali,10
Argentina,Mauritania,1
Argentina,Niger,1
Argentina,Nigeria,20
Argentina,Nigeria,22
Argentina,Nicaragua,8
Argentina,Pakistan,12
Argentina,Pakistan,31
Argentina,Peru,636
Argentina,Peru,324
Argentina,Poland,2
Argentina,Paraguay,3
Argentina,Romania,5
Argentina,Russian Federation,42
Argentina,Russian Federation,12
Argentina,Rwanda,3
Argentina,Sudan,1
Argentina,Senegal,38
Argentina,Senegal,32
Argentina,Sierra Leone,32
Argentina,Sierra Leone,8
Argentina,El Salvador,1
Argentina,Somalia,7
Argentina,Somalia,5
Argentina,Serbia and Kosovo (S/RES/1244 (1999)),1
Argentina,Tunisia,3
Argentina,Turkey,1
Argentina,Turkey,9
Argentina,Ukraine,13
Argentina,Uzbekistan,1
Argentina,Viet Nam,33
Argentina,Various/Unknown,2
Argentina,Various/Unknown,34
