Country / territory of asylum/residence,Origin,Value
Angola,Dem. Rep. of the Congo,20000
Angola,Namibia,50000
Angola,South Africa,5000
United Arab Emirates,Afghanistan,1500
United Arab Emirates,Ethiopia,600
United Arab Emirates,United Rep. of Tanzania,300
United Arab Emirates,Uganda,90
Argentina,Various/Unknown,26460
Argentina,Various/Unknown,60
Australia,Various/Unknown,304000
Austria,Various/Unknown,15525
Burundi,Dem. Rep. of the Congo,50750
Burundi,Rwanda,183810
Belgium,Various/Unknown,33000
Belize,El Salvador,4000
Bolivia (Plurinational State of),Various/Unknown,500
Brazil,Various/Unknown,24000
Botswana,Angola,330
Botswana,Lesotho,70
Botswana,Namibia,120
Botswana,Various/Unknown,320
Botswana,South Africa,300
Botswana,Zimbabwe,160
Botswana,Zimbabwe,22440
Central African Rep.,Chad,7000
Canada,Various/Unknown,92679
Switzerland,Various/Unknown,32000
Chile,Various/Unknown,1500
China,Viet Nam,263000
Cameroon,Equatorial Guinea,18000
Cameroon,Chad,110000
Dem. Rep. of the Congo,Angola,426700
Dem. Rep. of the Congo,Angola,200000
Dem. Rep. of the Congo,Burundi,11000
Dem. Rep. of the Congo,Rwanda,22000
Dem. Rep. of the Congo,Uganda,150000
Dem. Rep. of the Congo,Uganda,30000
Dem. Rep. of the Congo,Various/Unknown,200
Dem. Rep. of the Congo,Zambia,1210
Colombia,Various/Unknown,2000
Costa Rica,Cuba,700
Costa Rica,Guatemala,750
Costa Rica,Nicaragua,960
Costa Rica,Nicaragua,15000
Costa Rica,El Salvador,7500
Costa Rica,Various/Unknown,150
Cuba,Various/Unknown,2970
Cuba,Various/Unknown,180
Germany,Various/Unknown,94000
Djibouti,Ethiopia,45310
Denmark,Various/Unknown,1800
Dominican Rep.,Haiti,3800
Algeria,Western Sahara,50000
Algeria,Various/Unknown,2000
Ecuador,Various/Unknown,700
Egypt,Ethiopia,850
Egypt,Various/Unknown,590
Spain,Cuba,500
Spain,Various/Unknown,21000
Ethiopia,Sudan,10850
Ethiopia,Various/Unknown,80
France,Various/Unknown,121958
Gabon,Equatorial Guinea,20000
Gabon,Equatorial Guinea,10000
United Kingdom,Various/Unknown,148000
Greece,Greece,340
Greece,Various/Unknown,3410
Guatemala,El Salvador,4130
Guatemala,Various/Unknown,60
"China, Hong Kong SAR",Viet Nam,24070
"China, Hong Kong SAR",Viet Nam,6450
Honduras,El Salvador,25000
Indonesia,Viet Nam,8460
Indonesia,Viet Nam,37420
Iran (Islamic Rep. of),Afghanistan,300000
Iran (Islamic Rep. of),Iraq,30000
Iraq,Eritrea,400
Italy,Afghanistan,191
Italy,Albania,71
Italy,Argentina,38
Italy,Armenia,33
Italy,Burundi,2
Italy,Bulgaria,329
Italy,Brazil,5
Italy,Chile,375
Italy,China,24
Italy,Congo,6
Italy,Cuba,3
Italy,Czech Rep.,393
Italy,Dominican Rep.,1
Italy,Algeria,2
Italy,Egypt,2
Italy,Eritrea,142
Italy,Spain,5
Italy,Ethiopia,218
Italy,Ghana,2
Italy,Guinea-Bissau,2
