Country / territory of asylum/residence,Origin,Value
Burundi,Dem. Rep. of the Congo,7000.0
Burundi,Congo,3000.0
Burundi,Rwanda,31800.0
Burundi,Rwanda,4200.0
Botswana,Angola,4210.0
Central African Rep.,Dem. Rep. of the Congo,3080.0
Central African Rep.,Dem. Rep. of the Congo,70.0
Central African Rep.,Sudan,22670.0
Central African Rep.,Chad,1400.0
Dem. Rep. of the Congo,Angola,400000.0
Dem. Rep. of the Congo,Rwanda,24000.0
Dem. Rep. of the Congo,Sudan,55000.0
Dem. Rep. of the Congo,Zambia,9000.0
Dem. Rep. of the Congo,Zambia,4000.0
Cyprus,Armenia,200.0
Ethiopia,Sudan,21000.0
Greece,Greece,2360.0
Greece,Romania,50.0
India,Tibetan,56500.0
Kenya,Mozambique,230.0
Kenya,Namibia,60.0
Kenya,Rwanda,250.0
Kenya,Sudan,290.0
Kenya,South Africa,50.0
Cambodia,Viet Nam,20000.0
Lesotho,South Africa,70.0
"China, Macao SAR",China,66000.0
Morocco,Czech Rep.,70.0
Morocco,Spain,680.0
Morocco,Hungary,130.0
Morocco,Poland,150.0
Morocco,Russian Federation,170.0
Mexico,Cuba,2200.0
Nepal,Tibetan,8060.0
Peru,Bolivia (Plurinational State of),1400.0
Sudan,Dem. Rep. of the Congo,5990.0
Sudan,Congo,360.0
Sudan,Ethiopia,54350.0
Sudan,Chad,500.0
Senegal,Cabo Verde,400.0
Senegal,Guinea-Bissau,66660.0
Senegal,Guinea-Bissau,1140.0
Senegal,Nigeria,60.0
Serbia and Kosovo (S/RES/1244 (1999)),Albania,3920.0
Serbia and Kosovo (S/RES/1244 (1999)),Greece,18930.0
Serbia and Kosovo (S/RES/1244 (1999)),Hungary,3270.0
Swaziland,South Africa,50.0
Turkey,Albania,390.0
Turkey,Bulgaria,320.0
Turkey,Hungary,90.0
Turkey,Romania,50.0
Turkey,Serbia and Kosovo (S/RES/1244 (1999)),150.0
United Rep. of Tanzania,Dem. Rep. of the Congo,1850.0
United Rep. of Tanzania,Congo,200.0
United Rep. of Tanzania,Mozambique,55100.0
United Rep. of Tanzania,Malawi,100.0
United Rep. of Tanzania,Rwanda,14000.0
Uganda,Dem. Rep. of the Congo,33730.0
Uganda,Congo,210.0
Uganda,Rwanda,72000.0
Uganda,Rwanda,60.0
Uganda,Sudan,74000.0
Uganda,Sudan,300.0
Venezuela (Bolivarian Republic of),Cuba,14500.0
Zambia,Angola,9910.0
Zambia,Mozambique,4740.0
Zambia,Malawi,150.0
Zambia,Namibia,840.0
Zambia,South Africa,290.0
