Country / territory of asylum/residence,Origin,Value,%
Angola,"Congo, Rep.",20000,0.0007587984002
Angola,Namibia,50000,0.04937432851
Angola,South Africa,5000,0.0001680080937
United Arab Emirates,Afghanistan,1500,0.0001132214755
United Arab Emirates,Ethiopia,600,0.00001701408579
United Arab Emirates,United Rep. of Tanzania,300,
United Arab Emirates,Uganda,90,0.000007171577604
Argentina,Various/Unknown,26460,
Argentina,Various/Unknown,60,
Australia,Various/Unknown,304000,
Austria,Various/Unknown,15525,
Burundi,"Congo, Rep.",50750,0.001925450941
Burundi,Rwanda,183810,0.03575571963
Belgium,Various/Unknown,33000,
Belize,El Salvador,4000,0.0008732282199
Bolivia,Various/Unknown,500,
Brazil,Various/Unknown,24000,
Botswana,Angola,330,0.00003695450117
Botswana,Lesotho,70,0.0000534303017
Botswana,Namibia,120,0.0001184983884
Botswana,Various/Unknown,320,
Botswana,South Africa,300,0.00001008048562
Botswana,Zimbabwe,160,0.00002233335548
Botswana,Zimbabwe,22440,0.003132253106
Central African Republic,Chad,7000,0.001551403998
Canada,Various/Unknown,92679,
Switzerland,Various/Unknown,32000,
Chile,Various/Unknown,1500,
China,VietNam,263000,0.004837002755
Cameroon,Equatorial Guinea,18000,0.07049838441
Cameroon,Chad,110000,0.02437920569
"Congo, Rep.",Angola,426700,0.04778328985
"Congo, Rep.",Angola,200000,0.02239666738
"Congo, Rep.",Burundi,11000,0.002671967202
"Congo, Rep.",Rwanda,22000,0.004279559501
"Congo, Rep.",Uganda,150000,0.01195262934
"Congo, Rep.",Uganda,30000,0.002390525868
"Congo, Rep.",Various/Unknown,200,
"Congo, Rep.",Zambia,1210,0.000205459797
Colombia,Various/Unknown,2000,
Costa Rica,Cuba,700,0.00007117309633
Costa Rica,Guatemala,750,0.0001029730517
Costa Rica,Nicaragua,960,0.0002953927955
Costa Rica,Nicaragua,15000,0.00461551243
Costa Rica,El Salvador,7500,0.001637302912
Costa Rica,Various/Unknown,150,
Cuba,Various/Unknown,2970,
Cuba,Various/Unknown,180,
Germany,Various/Unknown,94000,
Djibouti,Ethiopia,45310,0.001284847045
Denmark,Various/Unknown,1800,
Dominican Rep.,Haiti,3800,0.0006679749601
Algeria,Western Sahara,50000,
Algeria,Various/Unknown,2000,
Ecuador,Various/Unknown,700,
"Egypt, Arab Rep., Arab Rep.",Ethiopia,850,0.0000241032882
"Egypt, Arab Rep., Arab Rep.",Various/Unknown,590,
Spain,Cuba,500,0.00005083792595
Spain,Various/Unknown,21000,
Ethiopia,Sudan,10850,0.0007478906726
Ethiopia,Various/Unknown,80,
France,Various/Unknown,121958,
Gabon,Equatorial Guinea,20000,0.07833153824
Gabon,Equatorial Guinea,10000,0.03916576912
United Kingdom,Various/Unknown,148000,
Greece,Greece,340,0.00003526054692
Greece,Various/Unknown,3410,
