Country / territory of asylum/residence,Origin,Value,%
Afghanistan,Various/Unknown,50,
Angola,"Congo, Rep.",9212,0.0002661306228
Angola,Namibia,245,0.0001731825726
Angola,South Africa,2100,0.00005590976164
Argentina,Various/Unknown,11735,
Argentina,Various/Unknown,1550,
Australia,Various/Unknown,97915,
Austria,Various/Unknown,34938,
Burundi,"Congo, Rep.",25850,0.000746795115
Burundi,Rwanda,242200,0.03347246565
Burundi,Somalia,30,0.000004055508008
Burundi,Uganda,300,0.000017202913
Burundi,Various/Unknown,23,
Belgium,Various/Unknown,25911,
Benin,Chad,424,0.0000711784516
Benin,Chad,320,0.00005371958611
Benin,Various/Unknown,32,
Burkina Faso,Ghana,60,0.00000410164982
Burkina Faso,Chad,190,0.00003189600425
Burkina Faso,Various/Unknown,100,
Bangladesh,Various/Unknown,145,
Bahrain,"Iran, Islamic Rep.",50,0.0000008892653841
Bahrain,Somalia,80,0.00001081468802
Bahrain,Various/Unknown,1650,
Belize,Guatemala,1460,0.0001576024905
Belize,Nicaragua,60,0.00001447679069
Belize,El Salvador,3907,0.0007434846614
Belize,Various/Unknown,25290,
Bolivia,Various/Unknown,200,
Bolivia,Various/Unknown,50,
Brazil,Various/Unknown,5335,
Botswana,Angola,160,0.00001314552648
Botswana,Various/Unknown,100,
Botswana,Various/Unknown,70,
Botswana,South Africa,918,0.00002444055295
Botswana,Zimbabwe,1,0.00000009820179743
Central African Republic,Sudan,3066,0.0001521770098
Central African Republic,Chad,1153,0.0001935583837
Central African Republic,Chad,1330,0.0002232720298
Central African Republic,Various/Unknown,65,
Canada,Various/Unknown,154761,
Switzerland,Various/Unknown,40943,
Chile,Various/Unknown,58,
China,Afghanistan,50,0.000004081927885
China,Lao PDR,3800,0.0008923388483
China,VietNam,283426,0.004155221248
Cote d'Ivoire,Ghana,100,0.000006836083034
Cote d'Ivoire,"Iran, Islamic Rep.",70,0.000001244971538
Cote d'Ivoire,Liberia,271831,0.1296141772
Cote d'Ivoire,Chad,60,0.0000100724224
Cote d'Ivoire,Various/Unknown,220,
Cameroon,Chad,49476,0.008305719508
Cameroon,Chad,2430,0.000407933107
Cameroon,Various/Unknown,400,
"Congo, Rep.",Angola,308242,0.02532502109
"Congo, Rep.",Angola,7000,0.0005751167836
"Congo, Rep.",Burundi,13293,0.002454659523
"Congo, Rep.",Rwanda,12596,0.001740789337
"Congo, Rep.",Sudan,70900,0.003519031308
"Congo, Rep.",Uganda,10099,0.0005791073947
"Congo, Rep.",Various/Unknown,1305,
"Congo, Rep.",Central African Republic,100,0.00003401615087
"Congo, Rep.",Cameroon,100,0.000008535906033
"Congo, Rep.","Congo, Rep.",1600,0.00004622329532
"Congo, Rep.",Rwanda,100,0.00001382017574
"Congo, Rep.",Chad,550,0.00009233053863
"Congo, Rep.",Chad,50,0.00000839368533
"Congo, Rep.",Various/Unknown,540,
Colombia,Chile,80,0.000006041323255
Colombia,Nicaragua,90,0.00002171518603
Colombia,Various/Unknown,290,
Colombia,Various/Unknown,110,
Comoros,Various/Unknown,60,
Costa Rica,Guatemala,210,0.00002266885137
Costa Rica,Nicaragua,33021,0.007967301755
Costa Rica,Nicaragua,6760,0.001631051751
Costa Rica,El Salvador,6277,0.001194485083
Costa Rica,El Salvador,50,0.000009514776829
Costa Rica,Various/Unknown,236702,
Cuba,Various/Unknown,3988,
Cyprus,"Iran, Islamic Rep.",16,0.0000002845649229
Cyprus,Iraq,15,0.0000008586636732
Cyprus,Iraq,80,0.00000457953959
Cyprus,Lebanon,50,0.00001849785573
Cyprus,Various/Unknown,2,
Cyprus,Various/Unknown,110,
Germany,Stateless,32000,
Germany,Various/Unknown,784000,
Djibouti,Ethiopia,1426,0.00002965488288
Djibouti,Somalia,76180,0.01029828667
