Country / territory of asylum/residence,Origin,Value,%
Aruba,Colombia,1,0.000000021777906
Afghanistan,Afghanistan,351907,0.01221764954
Afghanistan,Afghanistan,838250,0.02910270249
Afghanistan,Afghanistan,3366,0.0001168621492
Afghanistan,China,0,0
Afghanistan,Eritrea,0,0
Afghanistan,"Iran, Islamic Rep.",21,0.0000002816239904
Afghanistan,"Iran, Islamic Rep.",30,0.0000004023199862
Afghanistan,Iraq,0,0
Afghanistan,Iraq,6,0.0000001950413912
Afghanistan,Pakistan,9,0.00000005276729829
Afghanistan,Pakistan,6398,0.00003751168605
Angola,Burundi,13,0.000001482845192
Angola,Burundi,14,0.000001596910207
Angola,Burkina Faso,1,0.00000006408113389
Angola,Central African Republic,1,0.0000002247936114
Angola,Central African Republic,6,0.000001348761668
Angola,Cote d'Ivoire,1213,0.00005945690504
Angola,Cote d'Ivoire,211,0.00001034246246
Angola,Cameroon,1,0.00000005007387148
Angola,"Congo, Rep.",1508,0.00002337141567
Angola,"Congo, Rep.",13648,0.0002115206108
Angola,"Congo, Rep.",163,0.000002526220659
Angola,"Congo, Rep.",45,0.0000006974228814
Angola,Cuba,2,0.0000001764749845
Angola,Djibouti,1,0.000001174886565
Angola,Algeria,1,0.00000002768730413
Angola,Eritrea,43,0.000009793114757
Angola,Eritrea,6,0.000001366481129
Angola,Western Sahara,1,
Angola,Western Sahara,5,
Angola,Ethiopia,6,0.0000000684129685
Angola,Guinea,78,0.00000722612299
Angola,Guinea,36,0.000003335133688
Angola,Gambia,1,
Angola,Guinea-Bissau,17,0.00001092629252
Angola,Guinea-Bissau,2,0.000001285446178
Angola,Haiti,1,0.0000001000038301
Angola,Haiti,1,0.0000001000038301
Angola,Iraq,1,0.00000003250689853
Angola,Iraq,2,0.00000006501379707
Angola,Rep. of Korea,1,
Angola,Liberia,158,0.00004001899636
Angola,Liberia,75,0.00001899635903
Angola,Mauritania,90,0.00002493390438
Angola,Mauritania,83,0.0000229946007
Angola,Nigeria,1,0.000000006306034596
Angola,Rwanda,8,0.0000007807283454
Angola,Rwanda,444,0.00004333042317
Angola,Sudan,212,0.000006165306465
Angola,Sudan,159,0.000004623979849
Angola,Senegal,10,0.000000774219782
Angola,Sierra Leone,462,0.00007153120123
Angola,Sierra Leone,219,0.00003390764734
Angola,Somalia,53,0.000004397164144
Angola,Somalia,37,0.000003069718365
Angola,Chad,61,0.000005131569229
Angola,Chad,148,0.00001245036469
Angola,Togo,2,0.0000003075526315
Angola,United Rep. of Tanzania,6,
Angola,Uganda,2,0.00000005897072555
Angola,Various/Unknown,133,
Angola,South Africa,2,0.00000003877121384
Angola,Zambia,1,0.00000007220199403
